event_id,particle_index,pdg,charge,pt,eta,phi,mass,energy,is_final
7,41,-211,-1,0.241566,-1.89343,0.115576,0.13957,0.832227,1
7,46,22,0,0.0066089,2.27213,2.81612,0,0.032394,1
7,47,22,0,0.735973,1.85644,-0.993145,0,2.41295,1
7,48,22,0,0.175937,2.86734,2.75634,0,1.55237,1
7,49,22,0,0.105847,2.5008,-2.57324,0,0.649599,1
7,50,22,0,0.278727,-0.74838,-1.3663,0,0.360492,1
7,51,22,0,0.255503,-1.10548,-1.00808,0,0.428187,1
7,52,22,0,0.0783037,-0.420002,2.02289,0,0.0853123,1
7,53,22,0,0.027428,1.48369,-0.495159,0,0.0635777,1
7,54,22,0,0.0322819,-0.517206,0.240699,0,0.0366968,1
7,55,22,0,0.16079,-0.254485,2.61579,0,0.166025,1
7,56,22,0,0.0240477,0.73456,-0.461514,0,0.0308325,1
7,57,22,0,0.188179,1.00056,2.89256,0,0.290499,1
7,58,22,0,0.0579577,-2.20383,-0.560713,0,0.265736,1
7,59,22,0,0.325385,-1.76384,-1.46874,0,0.977162,1
7,60,22,0,0.149275,-1.68576,-2.26312,0,0.416618,1
7,61,22,0,0.0165656,-3.90217,-2.55507,0,0.410245,1
7,62,22,0,0.0697323,-1.05121,1.53151,0,0.111942,1
7,63,22,0,0.0608166,-2.17354,-0.505296,0,0.270729,1
7,64,22,0,0.0187457,-1.45301,1.13679,0,0.04227,1
7,65,22,0,0.204792,-2.34482,-2.32789,0,1.07795,1
8,3,2212,1,0.414276,3.79893,-2.53143,0.93827,9.30147,1
8,12,-321,-1,0.387024,-1.93689,0.704856,0.49368,1.45653,1
8,13,211,1,0.768652,-0.00595482,-0.79828,0.13957,0.781234,1
8,14,2112,0,0.603057,-2.26371,1.47249,0.93957,3.07854,1
8,16,321,1,0.234763,-2.68097,-2.78506,0.49368,1.7911,1
8,18,22,0,0.309236,-0.521496,2.47505,0,0.352247,1
8,19,22,0,0.262967,-1.6212,-2.05907,0,0.691184,1
8,20,22,0,0.0775395,-3.65828,2.06348,0,1.50506,1
8,21,22,0,0.0726307,-3.35607,-0.115726,0,1.04265,1
